Book Name,Author,Rating,User Rates,Price
Öklid'in Elemanları,Ali Sinan Sertöz,5.0,1,46.3
University Physics with Modern Physics in SI Units,Hugh D. Young,4.7,121,349.65
Lighting For Interior Design,Malcom Innes,4.6,58,96.55
The Wright Brothers: The Dramatic Story-Behind-the-Story,David McCullough,4.8,2450,153.18
Mutfak Sırları,Anthony Bourdain,4.9,44,35.92
Special Relativity and Classical Field Theory,Leonard Susskind,4.7,468,126.75
"Rolex, The Watch Book: Updated and expanded edition",Gisbert L. Brunner,4.7,86,891.01
Rolex Story,Franz-Christoph Heel,4.6,310,654.75
Robot Builders Bonanza,Gordon McComb,4.8,24,268.03
Classical Mechanics: The Theoretical Minimum,George Hrabovsky,4.6,492,119.86
Electromagnetic Theory for Complete Idiots,DAVID SMITH,3.4,9,331.9
"Derin Uzay: Güneş Sistemi'nin Ötesine, Evren'in Sınırlarına ve Zamanın Başlangıcına Bir Yolculuk",Govert Schilling,4.9,11,78.9
Tarascon Erişkin Acil Cep Kitabı,Richard J. Hamilton,3.8,3,64.04
Astrobiyoloji: Dünyada ve Evrende Yaşam,David C. Catling,5.0,5,22.38
Avucunuzun İçindeki Sonsuzluk - Olağanüstü Bir Evreni Açığa Çıkaran Elli Mucize,Marcus Chown,5.0,1,41.3
Clean Architecture: A Craftsman's Guide to Software Structure and Design (Robert C. Martin Series),Robert C. Martin,4.7,1086,456.37
The Intel Microprocessors: Pearson New International Edition,Barry B. Brey,4.4,14,421.35
Turkish Waters and Cyprus Pilot (10th Edition),Rod and Lucinda Heikell,4.9,15,921.43
Evren Nasıl Ortaya Çıktı?,New Scientist,5.0,1,47.5
CLOCK REPAIRING AS A HOBBY: An Illustrated How-to Guide for the Beginner,Harold C Kelly,4.2,314,300.35
Evrim Kuramı ve Mekanizmaları: Evrimin Temelleri ve Nasıl İşlediği Üzerine,Çağrı Mert Bakırcı,4.8,13,47.4
Food Futures: How Design and Technology can Reshape our Food System,Chloé Rutzerveld,4.5,2,64.07
The Weather Detective: Rediscovering Nature’s Secret Signs,Peter Wohlleben,4.4,108,237.44
How to Build a Car : The Autobiography of the World's Greatest Formula 1 Designer,Adrian Newey,4.8,2119,419.04
The Rhine: Following Europe's Greatest River from Amsterdam to the Alps,Ben Coates,4.2,93,47.08
Talking to Robots: A Brief Guide to Our Human-Robot Futures,David Ewing Duncan,4.7,12,47.28
